lifetime (s),VLP,gp120
0.012,4.418841,
0.025,4.406719,
0.026,4.394449,
0.029,4.382027,
0.03,4.369448,
0.039,4.356709,
0.04,4.343805,
0.041,4.330733,
0.042,4.317488,
0.049,4.304065,
0.052,4.290459,
0.053,4.276666,
0.054,4.26268,
0.058,4.248495,
0.066,4.234107,
0.068,4.219508,
0.068,4.204693,
0.068,4.189655,
0.07,4.174387,
0.07,4.158883,
0.072,4.143135,
0.073,4.127134,
0.077,4.110874,
0.082,4.094345,
0.083,4.077537,
0.084,4.060443,
0.085,4.043051,
0.088,4.025352,
0.088,4.007333,
0.089,3.988984,
0.092,3.970292,
0.093,3.951244,
0.096,3.931826,
0.098,3.912023,
0.1,3.89182,
0.1,3.871201,
0.101,3.850148,
0.106,3.828641,
0.109,3.806662,
0.11,3.78419,
0.11,3.7612,
0.112,3.73767,
0.119,3.713572,
0.121,3.688879,
0.126,3.663562,
0.129,3.637586,
0.13,3.610918,
0.13,3.583519,
0.135,3.555348,
0.137,3.526361,
0.138,3.496508,
0.138,3.465736,
0.138,3.433987,
0.14,3.401197,
0.141,3.367296,
0.144,3.332205,
0.146,3.295837,
0.146,3.258097,
0.149,3.218876,
0.149,3.178054,
0.163,3.135494,
0.167,3.091042,
0.169,3.044522,
0.169,2.995732,
0.173,2.944439,
0.179,2.890372,
0.201,2.833213,
0.202,2.772589,
0.216,2.70805,
0.217,2.639057,
0.217,2.564949,
0.226,2.484907,
0.228,2.397895,
0.235,2.302585,
0.263,2.197225,
0.265,2.079442,
0.281,1.94591,
0.287,1.791759,
0.29,1.609438,
0.316,1.386294,
0.33,1.098612,
0.42,0.693147,
0.425,0,
0.067248,,4.927254
0.07472,,4.919981
0.089664,,4.912655
0.089664,,4.905275
0.089664,,4.89784
0.089664,,4.890349
0.089664,,4.882802
0.089664,,4.875197
0.09589,,4.867534
0.104608,,4.859812
0.104608,,4.85203
0.104608,,4.844187
0.104608,,4.836282
0.104608,,4.828314
0.104608,,4.820282
0.104608,,4.812184
0.104608,,4.804021
0.104608,,4.795791
0.104608,,4.787492
0.109786,,4.779123
0.11174,,4.770685
0.118871,,4.762174
0.119552,,4.75359
0.119552,,4.744932
0.119552,,4.736198
0.119552,,4.727388
0.119552,,4.718499
0.119552,,4.70953
0.119552,,4.70048
0.119552,,4.691348
0.119552,,4.682131
0.119552,,4.672829
0.119552,,4.663439
0.119552,,4.65396
0.119552,,4.644391
0.119552,,4.634729
0.119552,,4.624973
0.119552,,4.615121
0.119552,,4.60517
0.119552,,4.59512
0.120755,,4.584967
0.123288,,4.574711
0.124528,,4.564348
0.124528,,4.553877
0.124528,,4.543295
0.124703,,4.532599
0.126323,,4.521789
0.131071,,4.51086
0.134496,,4.49981
0.134496,,4.488636
0.134496,,4.477337
0.134496,,4.465908
0.134496,,4.454347
0.134496,,4.442651
0.134496,,4.430817
0.134496,,4.418841
0.135554,,4.406719
0.135849,,4.394449
0.135849,,4.382027
0.135849,,4.369448
0.135849,,4.356709
0.148739,,4.343805
0.14944,,4.330733
0.14944,,4.317488
0.14944,,4.304065
0.14944,,4.290459
0.14944,,4.276666
0.14944,,4.26268
0.14944,,4.248495
0.14944,,4.234107
0.14944,,4.219508
0.150943,,4.204693
0.152201,,4.189655
0.152201,,4.174387
0.152201,,4.158883
0.152201,,4.143135
0.152201,,4.127134
0.152201,,4.110874
0.153563,,4.094345
0.164384,,4.077537
0.164384,,4.060443
0.164384,,4.043051
0.164384,,4.025352
0.164384,,4.007333
0.166038,,3.988984
0.166038,,3.970292
0.166038,,3.951244
0.166038,,3.931826
0.166038,,3.912023
0.166038,,3.89182
0.166038,,3.871201
0.166038,,3.850148
0.178082,,3.828641
0.179328,,3.806662
0.179328,,3.78419
0.179328,,3.7612
0.179328,,3.73767
0.179328,,3.713572
0.179328,,3.688879
0.179874,,3.663562
0.179874,,3.637586
0.181132,,3.610918
0.181132,,3.583519
0.181132,,3.555348
0.181132,,3.526361
0.181132,,3.496508
0.194271,,3.465736
0.194271,,3.433987
0.194271,,3.401197
0.194271,,3.367296
0.194271,,3.332205
0.196226,,3.295837
0.196226,,3.258097
0.207547,,3.218876
0.209215,,3.178054
0.211321,,3.135494
0.217011,,3.091042
0.221384,,3.044522
0.232877,,2.995732
0.232877,,2.944439
0.239103,,2.890372
0.239103,,2.833213
0.241509,,2.772589
0.254047,,2.70805
0.256604,,2.639057
0.256604,,2.564949
0.290566,,2.484907
0.290566,,2.397895
0.306268,,2.302585
0.328767,,2.197225
0.328767,,2.079442
0.329517,,1.94591
0.337989,,1.791759
0.388543,,1.609438
0.403487,,1.386294
0.437736,,1.098612
0.467925,,0.693147
0.618868,,0
