lifetime (s),VLP,gp120
0.01,4.248495,
0.012,4.234107,
0.017,4.219508,
0.017,4.204693,
0.019,4.189655,
0.019,4.174387,
0.019,4.158883,
0.019,4.143135,
0.023,4.127134,
0.029,4.110874,
0.029,4.094345,
0.03,4.077537,
0.031,4.060443,
0.033,4.043051,
0.034,4.025352,
0.035,4.007333,
0.036,3.988984,
0.038,3.970292,
0.049,3.951244,
0.05,3.931826,
0.052,3.912023,
0.056,3.89182,
0.057,3.871201,
0.059,3.850148,
0.06,3.828641,
0.06,3.806662,
0.064,3.78419,
0.066,3.7612,
0.074,3.73767,
0.076,3.713572,
0.079,3.688879,
0.081,3.663562,
0.082,3.637586,
0.082,3.610918,
0.084,3.583519,
0.084,3.555348,
0.085,3.526361,
0.086,3.496508,
0.091,3.465736,
0.094,3.433987,
0.094,3.401197,
0.094,3.367296,
0.095,3.332205,
0.096,3.295837,
0.098,3.258097,
0.101,3.218876,
0.103,3.178054,
0.108,3.135494,
0.11,3.091042,
0.11,3.044522,
0.114,2.995732,
0.115,2.944439,
0.121,2.890372,
0.123,2.833213,
0.125,2.772589,
0.126,2.70805,
0.129,2.639057,
0.13,2.564949,
0.131,2.484907,
0.133,2.397895,
0.139,2.302585,
0.142,2.197225,
0.143,2.079442,
0.143,1.94591,
0.143,1.791759,
0.166,1.609438,
0.187,1.386294,
0.191,1.098612,
0.215,0.693147,
0.218,0,
0.07472,,4.795791
0.07472,,4.787492
0.07472,,4.779123
0.075472,,4.770685
0.075472,,4.762174
0.089664,,4.75359
0.089664,,4.744932
0.089664,,4.736198
0.089664,,4.727388
0.089664,,4.718499
0.089664,,4.70953
0.090566,,4.70048
0.090566,,4.691348
0.090566,,4.682131
0.090566,,4.672829
0.090973,,4.663439
0.098524,,4.65396
0.104608,,4.644391
0.104608,,4.634729
0.104608,,4.624973
0.104608,,4.615121
0.104608,,4.60517
0.104608,,4.59512
0.104608,,4.584967
0.104608,,4.574711
0.104608,,4.564348
0.104608,,4.553877
0.104608,,4.543295
0.104608,,4.532599
0.104608,,4.521789
0.104608,,4.51086
0.104608,,4.49981
0.10566,,4.488636
0.10566,,4.477337
0.10566,,4.465908
0.10566,,4.454347
0.10566,,4.442651
0.10566,,4.430817
0.10566,,4.418841
0.10566,,4.406719
0.10566,,4.394449
0.119552,,4.382027
0.119552,,4.369448
0.119552,,4.356709
0.120755,,4.343805
0.120755,,4.330733
0.120755,,4.317488
0.120755,,4.304065
0.120755,,4.290459
0.120755,,4.276666
0.120755,,4.26268
0.120755,,4.248495
0.120755,,4.234107
0.120755,,4.219508
0.124533,,4.204693
0.129685,,4.189655
0.134496,,4.174387
0.134496,,4.158883
0.134496,,4.143135
0.134496,,4.127134
0.134496,,4.110874
0.134496,,4.094345
0.134496,,4.077537
0.134496,,4.060443
0.134496,,4.043051
0.134496,,4.025352
0.135343,,4.007333
0.135849,,3.988984
0.135849,,3.970292
0.135849,,3.951244
0.135849,,3.931826
0.136538,,3.912023
0.136811,,3.89182
0.137669,,3.871201
0.14944,,3.850148
0.150943,,3.828641
0.150943,,3.806662
0.150943,,3.78419
0.150943,,3.7612
0.150943,,3.73767
0.150943,,3.713572
0.150943,,3.688879
0.150943,,3.663562
0.164384,,3.637586
0.164384,,3.610918
0.164384,,3.583519
0.166038,,3.555348
0.166038,,3.526361
0.166038,,3.496508
0.166038,,3.465736
0.166038,,3.433987
0.172169,,3.401197
0.179328,,3.367296
0.179328,,3.332205
0.179328,,3.295837
0.194271,,3.258097
0.194271,,3.218876
0.194271,,3.178054
0.194271,,3.135494
0.196226,,3.091042
0.209215,,3.044522
0.211321,,2.995732
0.211321,,2.944439
0.224159,,2.890372
0.224159,,2.833213
0.224159,,2.772589
0.241509,,2.70805
0.254047,,2.639057
0.254047,,2.564949
0.256604,,2.484907
0.298879,,2.397895
0.328596,,2.302585
0.343711,,2.197225
0.34717,,2.079442
0.34717,,1.94591
0.34717,,1.791759
0.373599,,1.609438
0.528302,,1.386294
0.558491,,1.098612
0.573585,,0.693147
0.593837,,0
